# Observed Wavelength Air (nm)  	 
# Unc.  (nm)  	 
# Ritz Wavelength Air (nm)  	 
# Unc.  (nm)  
#  Rel.  Int.  (?) 
#  Aki (s-1)  
#  Acc.  Ei (cm-1)  
#   Ek (cm-1)  
#  Lower Level Conf., Term, J  
#  Upper Level Conf., Term, J  
#  Type  TP Ref.  
# Line
# Ref.
# 																		 
394.3540    	0.0020   	394.3545    	0.0012    	 20  	  	   	148 257.7898  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)10d  	 2[3/2]°  	 2  		  	L3469
398.4065    	0.0020   	398.4050    	0.0014    	 20  	  	   	148 257.7898  	-  	173 350.78    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)9d  	 2[3/2]°  	 1  		  	L3469
398.4253    	0.0020   	398.4252    	0.0013    	 70  	  	   	148 257.7898  	-  	173 349.51    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)9d  	 2[3/2]°  	 2  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
399.5298    	0.0020   	399.5297    	0.0021    	 10  	  	   	148 257.7898  	-  	173 280.14    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)13d  	 2[3/2]°  	 2  		  	L3469
399.5721    	0.0020   	399.5705    	0.0022    	 10  	  	   	148 257.7898  	-  	173 277.59    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)13d  	 2[1/2]°  	 1  		  	L3469
399.8594    	0.0020   	399.8602    	0.0010    	 10  	  	   	148 257.7898  	-  	173 259.46    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)10s  	 2[1/2]°  	 1  		  	L3469
399.9263    	0.0020   	399.9277    	0.0010    	 10  	  	   	148 257.7898  	-  	173 255.24    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)10s  	 2[1/2]°  	 0  		  	L3469
401.3752    	0.0020   	401.3753    	0.0019    	 10  	  	   	148 257.7898  	-  	173 165.09    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)12d  	 2[3/2]°  	 2  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
401.3995    	0.0020   	401.397     	0.003     	 20  	  	   	148 257.7898  	-  	173 163.72    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)12d  	 2[1/2]°  	 1  		  	L3469
402.0015    	0.0020   	402.0043    	0.0015    	 20  	  	   	148 257.7898  	-  	173 126.12    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)13s  	 2[3/2]°  	 2  		  	L3469
403.7262    	0.0020   	403.7261    	0.0020    	 50  	  	   	148 257.7898  	-  	173 020.06    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)11d  	 2[3/2]°  	 2  		  	L3469
403.7615    	0.0020   	403.7600    	0.0021    	 150  	  	   	148 257.7898  	-  	173 017.98    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)11d  	 2[1/2]°  	 1  		  	L3469
403.7696    	0.0020   	403.7697    	0.0020    	 50  	  	   	148 257.7898  	-  	173 017.39    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)11d  	 2[1/2]°  	 0  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
404.2327    	0.0020   	404.2333    	0.0011    	 100  	  	   	148 257.7898  	-  	172 988.99    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)8d  	 2[3/2]°  	 1  		  	L3469
