# Observed Wavelength Air (nm)  	 
#				Rel.  Int.  (?) 
467.91350   	1500  	
468.03670   	1000  	
468.1200    	500  	
468.1930    	200  	
468.2146    	200  	
468.2910    	100  	
468.3238    	50  	
468.3764    	300  	
468.76710   	1000  	
468.8191    	20  	
469.1580    	150  	
469.5363    	200  	
469.6943    	50  	
470.0469    	50  	
470.25305   	1500  	
470.43949   	15000  	
470.88594   	12000  	
471.00650   	10000  	
471.04881   	300  	
471.20633   	15000  	
471.21406   	150
471.21406   	150
471.2800    	100  	
471.43397   	700  	
471.51248   	300  	
471.52580   	300  	
471.53440   	15000  	
471.76085   	700  	
472.15337   	700  	
472.2150    	50  	
472.2714    	150  	
472.3810    	700
472.3810    	700
472.4162    	50  	
472.51450   	700  	
474.95754   	3000  	
475.06826   	300  	
475.1802    	300  	
475.27320   	5000  	
475.3123    	10  	
475.4440    	1000  	
475.87280   	1500  	
478.03380   	3000  	
478.0884    	300  	
478.1239    	20  	
478.4022    	20  	
478.89258   	10000  	
478.95982   	1000  	
479.02195   	5000  	
479.0728    	300  	
480.01110   	150  	
480.1076    	20  	
480.2363    	100  	
480.3225    	10  	
480.9500    	100  	
481.00640   	1500  	
481.06392   	1000  	
481.4338    	500  	
481.6900    	10  	
481.76386   	3000  	
481.87847   	1500  	
481.9937    	700  	
482.19218   	3000  	
482.31725   	1000  	
482.3370    	500  	
482.5529    	500  	
482.73380   	10000  	
482.75870   	3000  	
482.9288    	50  	
483.73139   	5000  	
484.2566    	100  	
484.2941    	500  	
484.5145    	150  	
484.5767    	50  	
484.9530    	300  	
485.1501    	600  	
485.26550   	1000  	
485.9604    	150  	
486.30810   	1000  	
486.43729   	300  	
486.55065   	1000  	
486.64760   	800  	
486.70189   	700  	
486.82766   	700  	
488.3403    	150  	
488.49170   	10000  	
488.50971   	1000  	
488.8365    	50  	
489.20900   	5000  	
489.2228    	100  	
489.7924    	700  	
489.9013    	500  	
492.82350   	700  	
493.0944    	500  	
493.90410   	1000  	
494.49870   	1000  	
495.53905   	1500  	
495.70335   	10000  	
495.71220   	1500  	
497.35555   	1000  	
497.4760    	500  	
497.5961    	100  	
497.9625    	50  	
499.49300   	1500  	
499.6209    	20  	
499.7482    	150  	
